category,gender,is_fraud,median_household_income,poverty_rate,region,age,late_night,amt_thousand,city_pop_thousand
misc_net,M,1,58042.0,10.6,Northeast,61,1,0.7905399999999999,7.728
misc_net,M,1,58042.0,10.6,Northeast,61,1,0.72323,7.728
shopping_pos,M,1,58042.0,10.6,Northeast,61,1,0.9963099999999999,7.728
shopping_net,M,1,58042.0,10.6,Northeast,61,1,0.9023,7.728
shopping_pos,M,1,58042.0,10.6,Northeast,61,1,0.7417699999999999,7.728
shopping_net,F,1,51667.0,10.0,Northeast,61,1,0.90077,1.131
shopping_pos,M,1,58042.0,10.6,Northeast,61,1,1.0473,7.728
misc_net,F,1,51667.0,10.0,Northeast,61,1,0.73799,1.131
misc_net,F,0,47182.0,15.9,Midwest,41,0,0.6206,6.469
misc_net,F,0,44063.0,8.0,South,38,0,0.76098,0.836
misc_net,M,0,111415.0,2.9,Northeast,41,0,0.9824700000000001,3.279
shopping_net,F,0,69167.0,9.6,Midwest,23,0,0.6680499999999999,1.075
travel,F,0,58802.0,100.0,South,19,0,1.80421,4.198
shopping_net,F,1,51667.0,10.0,Northeast,61,0,1.04697,1.131
travel,M,0,60337.0,13.4,Northeast,20,0,6.60044,3.807
shopping_net,F,0,40574.0,27.4,South,36,0,0.6023099999999999,59.744
misc_net,F,1,51667.0,10.0,Northeast,61,1,0.85082,1.131
shopping_net,F,1,51667.0,10.0,Northeast,61,1,0.97648,1.131
shopping_net,F,0,83125.0,4.0,Midwest,43,1,4.62247,0.346
shopping_net,F,0,106641.0,6.4,West,66,1,0.98624,2.016
misc_pos,F,0,58802.0,10.4,South,70,1,1.20258,0.043
shopping_net,F,0,21406.0,25.8,South,64,0,0.68617,0.07
misc_pos,F,0,53280.0,18.7,Midwest,28,0,0.60638,128.354
misc_pos,F,0,58219.0,12.7,Midwest,52,0,1.01023,1022.298
misc_net,M,0,74893.0,14.7,West,37,0,0.62659,172.817
travel,F,0,47670.0,15.4,Midwest,69,0,1.36385,3.805
shopping_net,M,0,56359.0,12.4,Midwest,48,0,1.4834100000000001,31.515
shopping_pos,F,0,72855.0,8.0,Midwest,48,0,1.38656,753.116
shopping_pos,M,0,67470.0,8.1,Northeast,22,0,0.9139299999999999,3.224
shopping_net,M,0,60397.0,18.1,Northeast,29,0,0.63573,1382.48
shopping_pos,M,0,83532.0,9.1,Northeast,39,0,3.93615,47.249
shopping_pos,F,0,97273.0,10.9,Northeast,41,0,0.7725299999999999,3.255
shopping_net,F,0,48377.0,13.6,South,36,0,1.06145,1.523
shopping_pos,F,0,46492.0,14.6,South,33,1,0.68864,2.206
misc_net,F,1,39732.0,21.7,South,57,1,0.74959,67.082
shopping_net,F,1,39732.0,21.7,South,57,1,1.12953,67.082
shopping_net,M,0,58802.0,10.4,South,42,1,1.52323,158.701
misc_net,F,1,39732.0,21.7,South,57,1,0.84429,67.082
shopping_net,M,1,66079.0,9.0,Midwest,38,1,0.94988,23.727
shopping_pos,F,0,64375.0,11.7,Northeast,46,1,1.51762,2.121
shopping_pos,F,0,65224.0,12.8,West,38,1,0.78008,1312.922
shopping_net,M,1,66079.0,9.0,Midwest,38,1,0.9350599999999999,23.727
shopping_net,M,1,66079.0,9.0,Midwest,38,1,1.02561,23.727
shopping_net,M,0,108258.0,3.7,South,35,1,2.5078899999999997,20.328
misc_net,F,0,58802.0,52.4,South,62,1,0.71849,0.037
shopping_pos,M,0,59612.0,9.5,West,53,1,0.77125,4.878
misc_net,M,1,66079.0,9.0,Midwest,38,1,0.76471,23.727
misc_net,F,0,82321.0,9.0,Northeast,56,0,1.17971,2.054
shopping_net,F,0,170224.0,5.3,West,85,0,1.0022,17.047
misc_pos,M,0,40833.0,20.5,Northeast,58,0,0.78454,4.172
misc_net,F,0,50417.0,9.6,Northeast,69,0,0.63734,0.427
shopping_net,F,0,62259.0,7.9,South,41,0,1.15419,79.613
shopping_net,F,0,39554.0,7.1,Midwest,48,0,0.66232,0.765
shopping_net,F,0,64375.0,11.7,Northeast,46,0,0.8568300000000001,2.121
shopping_pos,F,0,45303.0,17.0,Midwest,45,0,2.22737,1.81
misc_pos,M,0,55152.0,10.7,South,35,0,0.74638,79.008
misc_pos,F,0,53542.0,3.8,Midwest,48,0,1.11811,0.771
shopping_net,M,1,66079.0,9.0,Midwest,38,0,0.91711,23.727
shopping_pos,F,0,74146.0,10.0,South,26,0,2.0791999999999997,5.903
misc_net,F,1,58802.0,0.0,Midwest,50,0,0.6671699999999999,0.063
shopping_net,M,0,60368.0,11.0,West,21,0,0.93486,0.895
travel,M,0,62606.0,5.6,South,47,1,2.75846,233.06
entertainment,F,1,58802.0,0.0,Midwest,50,1,0.61472,0.063
shopping_net,F,1,39732.0,21.7,South,57,1,0.99641,67.082
shopping_net,F,1,39732.0,21.7,South,57,1,0.89525,67.082
shopping_net,F,1,39732.0,21.7,South,57,1,1.1344100000000001,67.082
shopping_net,F,0,51250.0,6.9,South,45,1,3.64018,1.725
misc_pos,M,0,43788.0,20.0,South,79,1,0.61498,68.211
shopping_net,F,0,64583.0,20.9,South,53,0,1.2576500000000002,0.344
misc_pos,F,0,61250.0,7.9,Northeast,71,0,1.10046,1.274
shopping_pos,F,0,58802.0,0.0,West,80,0,0.64258,0.061
shopping_net,M,0,157870.0,5.0,South,35,0,2.95445,207.41
shopping_pos,F,0,77989.0,5.1,Midwest,23,0,0.74336,31.394
shopping_pos,F,0,22639.0,18.6,West,42,0,1.0025,0.149
shopping_pos,F,0,74986.0,13.9,West,49,0,1.2637,34.882
travel,M,0,24013.0,50.5,South,33,0,0.61603,0.337
misc_pos,M,0,49643.0,18.0,South,27,0,1.00964,238.602
shopping_net,F,0,58802.0,25.8,Northeast,29,0,0.7991,0.069
shopping_net,F,0,64712.0,15.2,South,43,0,0.7042999999999999,378.909
shopping_pos,F,0,41245.0,15.0,South,42,0,1.60422,9.521
misc_pos,F,0,93786.0,6.1,Midwest,15,0,1.75856,163.415
misc_pos,F,0,58802.0,0.0,South,44,0,0.77077,0.313
travel,M,0,58454.0,7.4,South,26,0,0.63564,2.395
shopping_pos,F,0,66367.0,5.2,Midwest,32,0,0.64263,545.147
shopping_net,F,0,79706.0,6.2,West,49,0,0.65519,84.106
shopping_pos,F,0,56202.0,19.5,Northeast,32,1,1.02949,2.303
shopping_net,M,1,23994.0,37.0,Midwest,56,1,1.15989,272.134
shopping_net,F,1,58802.0,0.0,Midwest,50,1,1.0511400000000002,0.063
shopping_pos,F,0,158026.0,2.3,South,36,1,0.8784299999999999,116.155
shopping_net,M,1,23994.0,37.0,Midwest,56,1,1.14266,272.134
misc_net,F,1,58802.0,0.0,Midwest,50,1,0.77775,0.063
shopping_pos,F,0,44688.0,24.6,South,46,1,1.6646500000000002,5.621
shopping_net,M,1,23994.0,37.0,Midwest,56,1,1.19726,272.134
shopping_net,F,1,28036.0,23.6,South,34,1,0.9697,1.679
shopping_pos,F,0,46250.0,16.0,South,62,1,0.91315,2.566
misc_net,M,0,42000.0,16.8,Midwest,64,1,0.93708,1.126
shopping_pos,F,0,58802.0,10.4,Midwest,85,0,0.64073,0.073
shopping_net,F,1,28036.0,23.6,South,34,0,1.07119,1.679
shopping_pos,F,0,58887.0,12.8,South,80,0,0.95729,136.895
shopping_net,F,0,62684.0,16.1,South,86,0,0.87448,12.486
shopping_net,M,0,32188.0,20.8,South,52,0,0.71176,0.571
misc_net,F,0,56929.0,13.9,Northeast,29,0,0.80152,8.83
misc_pos,F,0,100163.0,9.4,South,54,0,1.20598,1.925
shopping_pos,F,0,124716.0,5.2,Northeast,30,0,0.6235599999999999,4.056
shopping_net,M,0,80541.0,8.6,West,42,0,1.00676,28.278
misc_pos,F,0,93786.0,6.1,Midwest,15,0,1.49543,163.415
shopping_net,F,0,63543.0,11.8,South,35,0,0.61941,19.685
shopping_pos,F,0,63633.0,15.6,Midwest,34,0,0.9502999999999999,3.458
shopping_pos,F,0,90021.0,7.5,South,26,0,0.8977999999999999,391.389
shopping_pos,F,0,77989.0,5.1,Midwest,23,0,0.72739,31.394
travel,F,0,122598.0,13.6,Northeast,20,0,0.95862,2504.7
shopping_pos,F,0,37794.0,0.0,South,31,0,0.92408,0.53
misc_pos,F,0,122598.0,13.6,Northeast,20,0,0.83272,2504.7
shopping_pos,F,0,56672.0,12.8,Northeast,43,0,0.94364,6.12
shopping_net,F,0,73125.0,21.0,West,24,0,1.40247,0.917
shopping_pos,F,0,45515.0,21.4,South,48,0,0.89346,1.76
shopping_pos,M,0,98537.0,9.2,South,27,0,1.1630999999999998,116.001
shopping_pos,F,0,60318.0,15.6,South,36,0,1.09029,24.536
shopping_pos,F,0,46693.0,16.2,Midwest,44,0,0.70772,910.148
shopping_net,F,0,29107.0,34.2,West,48,0,2.6816199999999997,0.743
shopping_pos,M,0,77425.0,9.8,West,46,0,0.71729,105.549
shopping_pos,F,1,73621.0,2.6,Northeast,79,1,0.85492,0.526
shopping_net,M,0,52564.0,16.6,West,26,1,3.63296,19.408
shopping_pos,F,1,17295.0,46.3,South,68,1,0.8885599999999999,736.284
shopping_pos,F,0,58802.0,22.2,Midwest,45,1,0.67899,0.241
misc_net,F,1,17295.0,46.3,South,68,1,0.87842,736.284
shopping_net,M,1,23994.0,37.0,Midwest,56,1,1.00499,272.134
misc_net,M,1,23994.0,37.0,Midwest,56,1,0.79307,272.134
shopping_pos,M,1,23994.0,37.0,Midwest,56,1,1.01385,272.134
shopping_net,F,1,121620.0,6.8,West,36,1,1.02048,50.489
misc_net,F,1,28036.0,23.6,South,34,1,0.79507,1.679
shopping_net,F,1,28036.0,23.6,South,34,1,0.8294,1.679
shopping_pos,F,1,44688.0,24.6,South,46,1,0.77265,5.621
shopping_net,M,0,40779.0,11.9,Midwest,66,1,0.6795399999999999,1.831
shopping_pos,F,0,33333.0,8.8,South,74,1,1.5243,0.579
misc_net,M,0,149934.0,3.9,South,43,1,1.62653,19.054
shopping_pos,F,1,121620.0,6.8,West,36,1,0.82627,50.489
shopping_net,F,1,44688.0,24.6,South,46,1,1.0711199999999999,5.621
shopping_net,M,0,52252.0,8.8,South,51,1,1.08527,9.034
misc_net,F,1,28036.0,23.6,South,34,0,0.77842,1.679
misc_pos,F,0,68750.0,4.1,Midwest,89,0,0.85919,0.307
shopping_pos,F,0,42785.0,24.5,South,53,0,0.80868,4.913
shopping_net,F,1,28036.0,23.6,South,34,0,0.9899199999999999,1.679
shopping_net,F,1,17295.0,46.3,South,68,0,1.14396,736.284
travel,M,0,56044.0,15.0,South,68,0,1.52428,254.282
shopping_net,F,0,44473.0,19.5,South,35,0,0.9487599999999999,36.438
misc_pos,F,0,45303.0,17.0,Midwest,45,0,0.60737,1.81
shopping_net,F,0,48596.0,19.3,Midwest,21,0,1.17811,1.423
shopping_pos,F,0,64898.0,14.3,South,32,0,1.62073,12.335
shopping_net,M,0,91771.0,3.1,Midwest,33,0,1.22509,5.211
shopping_net,F,1,73621.0,2.6,Northeast,79,0,1.12395,0.526
shopping_pos,F,0,39250.0,21.3,South,34,0,1.32505,1.97
misc_net,F,1,73621.0,2.6,Northeast,79,1,0.8300599999999999,0.526
shopping_pos,F,0,47196.0,20.1,Northeast,35,1,0.67196,1526.206
travel,M,0,60337.0,13.4,Northeast,20,1,0.88542,3.807
shopping_net,F,0,60833.0,10.1,South,44,1,0.65266,1.766
shopping_net,F,1,17295.0,46.3,South,68,1,0.9935499999999999,736.284
shopping_net,F,1,73621.0,2.6,Northeast,79,1,0.97038,0.526
misc_net,F,1,73621.0,2.6,Northeast,79,1,0.80953,0.526
shopping_pos,F,1,17295.0,46.3,South,68,1,0.9179700000000001,736.284
shopping_pos,M,0,67470.0,8.1,Northeast,22,1,0.7892899999999999,3.224
shopping_pos,F,0,37184.0,14.2,South,43,1,0.96694,7.155
shopping_pos,F,1,73621.0,2.6,Northeast,79,1,0.7273200000000001,0.526
shopping_net,F,1,121620.0,6.8,West,36,1,1.00199,50.489
shopping_pos,M,0,49153.0,19.7,Northeast,49,0,0.6994900000000001,3.833
shopping_pos,M,0,137833.0,3.3,South,35,0,2.31236,13.602
travel,M,0,54159.0,14.9,Northeast,21,0,0.78776,17.867
shopping_pos,F,0,58802.0,100.0,South,19,0,1.78053,4.198
shopping_net,F,0,46693.0,16.2,Midwest,44,0,0.73039,910.148
shopping_net,M,0,63995.0,1.2,Northeast,22,0,0.72874,0.972
shopping_pos,F,0,54711.0,15.7,South,37,0,1.04907,186.14
shopping_pos,F,0,81117.0,0.0,Northeast,36,0,0.7295499999999999,0.328
shopping_pos,F,0,81117.0,0.0,Northeast,36,0,0.67176,0.328
shopping_net,F,0,44904.0,19.2,South,36,0,1.4112799999999999,21.134
shopping_net,M,0,67789.0,9.3,South,61,1,1.13344,1263.321
misc_net,M,0,38864.0,16.2,Midwest,58,1,0.6360399999999999,2.208
shopping_net,F,0,46250.0,7.5,Midwest,59,1,1.15333,0.32
misc_net,M,0,50861.0,13.6,Northeast,39,1,0.73098,124.967
shopping_pos,F,0,55556.0,9.9,West,63,0,1.20177,0.759
shopping_net,F,0,52632.0,6.8,West,84,0,0.96413,1.288
shopping_pos,F,0,58802.0,10.4,South,70,0,0.65004,0.043
shopping_pos,F,0,46913.0,24.5,West,31,0,0.7842100000000001,35.371
shopping_net,F,0,38654.0,16.4,South,28,0,1.51237,4.575
shopping_pos,F,0,82217.0,8.8,West,47,0,1.7467300000000001,54.287
shopping_pos,F,0,35078.0,17.0,South,43,0,0.95311,4.726
travel,F,0,35732.0,4.6,South,89,0,3.9719,0.571
travel,M,0,49063.0,0.0,South,34,0,0.6217999999999999,0.099
misc_net,M,0,27319.0,39.0,South,49,0,0.6087400000000001,248.858
shopping_net,F,0,56395.0,7.9,Midwest,39,1,0.8360700000000001,3.104
misc_pos,F,0,41500.0,20.4,South,67,1,0.69338,5.778
shopping_pos,F,0,51897.0,14.1,Northeast,61,0,0.60799,4.895
misc_net,F,0,62259.0,7.9,South,41,0,0.80204,79.613
shopping_net,F,0,22639.0,18.6,West,42,0,0.94576,0.149
shopping_pos,M,0,52512.0,10.0,Midwest,29,0,4.06677,7.297
shopping_net,F,0,143641.0,5.8,West,23,0,1.0628900000000001,973.849
misc_net,F,0,83125.0,4.0,Midwest,43,0,0.63836,0.346
shopping_net,F,0,47450.0,10.3,Midwest,45,0,1.3406,1.807
travel,F,0,50795.0,14.2,Midwest,29,0,13.149149999999999,1.228
shopping_pos,F,0,21250.0,37.7,Midwest,32,0,0.6961900000000001,0.242
shopping_pos,M,0,61970.0,6.9,South,31,0,1.43564,341.043
misc_net,F,0,89536.0,4.9,Northeast,26,0,1.00969,2.456
travel,F,0,21250.0,37.7,Midwest,32,0,6.29701,0.242
travel,F,0,80333.0,5.1,West,28,1,1.18968,525.713
shopping_pos,F,0,74731.0,4.6,Midwest,39,1,1.2807,13.973
shopping_net,F,1,85341.0,4.7,Midwest,76,1,1.1159400000000002,6.263
misc_net,F,0,37794.0,0.0,South,31,1,0.78212,0.53
misc_net,M,1,46536.0,15.8,South,36,1,0.69371,3.766
shopping_net,M,1,46536.0,15.8,South,36,1,0.99133,3.766
misc_net,F,1,85341.0,4.7,Midwest,76,1,0.91289,6.263
shopping_net,F,1,85341.0,4.7,Midwest,76,1,1.0619100000000001,6.263
misc_pos,F,0,31125.0,0.0,South,31,1,0.8950199999999999,0.167
shopping_net,M,1,46536.0,15.8,South,36,1,0.84053,3.766
shopping_net,F,0,51250.0,6.9,South,45,1,2.22564,1.725
shopping_net,F,0,68750.0,4.1,Midwest,89,1,0.6045900000000001,0.307
misc_net,M,1,46536.0,15.8,South,36,1,0.68526,3.766
misc_pos,M,0,91836.0,6.5,Northeast,58,1,0.6838200000000001,38.912
shopping_pos,F,1,56181.0,18.3,South,25,1,0.6274299999999999,8.333
misc_net,M,0,48750.0,23.7,Midwest,78,0,0.61927,0.14
misc_net,F,0,98417.0,5.8,Northeast,47,0,0.7945099999999999,2.376
shopping_net,M,0,51250.0,14.7,Midwest,59,0,0.64164,1.132
misc_net,M,0,56596.0,7.1,Northeast,46,0,2.45148,5.507
shopping_net,M,0,17708.0,80.9,South,81,0,1.01918,0.376
misc_pos,M,0,52394.0,10.2,Midwest,44,0,0.6646,4.474
shopping_net,F,0,37348.0,13.4,South,33,0,0.74372,1.186
shopping_pos,F,0,58802.0,25.7,South,30,0,1.18085,0.217
shopping_pos,F,0,46693.0,16.2,Midwest,44,0,0.77777,910.148
shopping_net,M,0,27391.0,32.3,South,21,0,1.24499,2.87
shopping_pos,F,0,23936.0,41.0,South,29,0,0.9656399999999999,18.128
shopping_pos,F,0,83125.0,4.0,Midwest,43,0,0.6385700000000001,0.346
travel,M,0,79214.0,7.9,South,61,0,3.34829,190.178
shopping_net,F,0,72614.0,4.7,Midwest,24,1,1.4216300000000002,0.372
shopping_net,M,1,46536.0,15.8,South,36,1,0.87499,3.766
misc_net,M,1,46536.0,15.8,South,36,1,0.70943,3.766
misc_net,F,1,56181.0,18.3,South,25,1,0.87502,8.333
shopping_pos,F,0,51667.0,10.0,Northeast,61,0,0.69312,1.131
shopping_pos,M,0,51504.0,12.1,Northeast,61,0,0.97619,23.045
misc_pos,F,0,70600.0,3.5,West,54,0,0.60758,1.42
shopping_net,F,0,164531.0,3.5,Midwest,60,0,0.6504099999999999,927.396
shopping_net,F,0,37348.0,13.4,South,33,0,1.5168199999999998,1.186
misc_pos,F,0,53265.0,10.8,Midwest,22,0,1.2693800000000002,6.703
shopping_net,F,0,60318.0,15.6,South,36,0,0.73512,24.536
shopping_pos,F,0,125288.0,3.2,Northeast,49,0,1.0236,5.95
shopping_pos,F,0,96198.0,6.2,Midwest,35,0,0.62563,6.951
shopping_pos,F,0,64510.0,9.3,South,36,1,0.93748,144.16
misc_pos,M,0,58802.0,18.8,South,20,1,0.65352,0.111
shopping_pos,F,0,46136.0,8.1,West,39,1,1.27269,0.241
shopping_net,F,0,70406.0,2.7,Midwest,36,1,0.80396,2.644
shopping_net,F,1,64898.0,14.3,South,32,1,0.79477,12.335
shopping_pos,F,1,64898.0,14.3,South,32,1,0.8811,12.335
shopping_pos,F,1,64898.0,14.3,South,32,1,0.8354199999999999,12.335
shopping_pos,F,0,58802.0,100.0,West,58,0,1.0760399999999999,0.247
shopping_pos,M,0,33929.0,10.3,West,56,0,0.64038,0.192
shopping_net,F,0,64583.0,20.9,South,53,0,1.55479,0.344
shopping_net,F,0,96053.0,9.4,Northeast,52,0,0.61917,10.256
shopping_net,M,0,66667.0,14.2,South,51,0,0.8998400000000001,0.663
misc_net,F,0,56611.0,10.4,South,49,0,0.92015,46.563
shopping_net,M,0,52564.0,16.6,West,26,0,1.16125,19.408
travel,F,0,97759.0,6.3,West,34,0,6.18112,94.014
shopping_pos,F,0,129703.0,4.4,South,35,0,0.82438,2906.7
shopping_pos,F,0,60318.0,15.6,South,36,0,1.0632300000000001,24.536
shopping_pos,F,0,84779.0,5.6,Midwest,24,0,1.09864,2.607
shopping_pos,F,0,124716.0,5.2,Northeast,30,0,2.26375,4.056
travel,F,0,44236.0,32.1,South,60,0,2.08903,0.502
shopping_net,F,0,64510.0,9.3,South,36,0,0.82721,144.16
shopping_pos,F,0,47182.0,15.9,Midwest,41,0,0.86152,6.469
shopping_net,M,0,56193.0,10.8,Midwest,24,0,2.10385,518.429
shopping_pos,F,0,72385.0,13.6,West,35,0,0.99476,27.971
shopping_pos,F,0,57722.0,9.0,Northeast,44,0,0.62878,5.895
misc_net,F,1,33333.0,8.8,South,74,0,0.91339,0.579
misc_pos,F,0,50417.0,27.0,South,35,0,1.07528,1.493
misc_pos,M,0,108870.0,3.5,Northeast,45,0,0.63473,35.299
shopping_pos,F,0,72385.0,13.6,West,35,0,1.9140599999999999,27.971
shopping_pos,F,0,72385.0,13.6,West,35,1,0.69778,27.971
shopping_net,F,1,33333.0,8.8,South,74,1,0.88724,0.579
shopping_pos,M,0,89846.0,5.3,South,23,1,0.7156699999999999,20.478
misc_pos,F,0,21250.0,37.7,Midwest,32,1,1.1213499999999998,0.242
shopping_pos,F,0,51250.0,21.7,South,49,1,0.6744199999999999,0.551
misc_pos,M,0,67789.0,9.3,South,61,1,1.74355,1263.321
misc_net,F,0,57722.0,9.0,Northeast,44,1,0.63358,5.895
shopping_pos,M,0,56630.0,7.6,Midwest,75,1,0.67003,0.914
shopping_net,F,0,43247.0,4.3,South,58,1,0.97445,736.284
misc_pos,M,0,17708.0,80.9,South,81,1,1.06675,0.376
shopping_net,M,0,28571.0,39.9,West,80,0,0.64801,0.145
misc_pos,M,0,43417.0,12.2,Midwest,50,0,2.2476,1.979
shopping_net,F,1,64898.0,14.3,South,32,0,1.04139,12.335
shopping_net,F,0,80333.0,5.1,West,28,0,0.67868,525.713
shopping_pos,F,0,62944.0,7.7,South,44,0,1.32968,4.074
travel,F,0,58802.0,22.2,Midwest,45,0,1.6790699999999998,0.241
